"routeid","vehicleid","t1","lon1","lat1","t2","lon2","lat2","bear","tdiff","p_index1","p_index2","bear","p_lon1","p_lat1","p_lon2","p_lat2","dist","speed"
1054553,39187,2017-07-20 00:45:48,24.0489766,49.7990583,2017-07-20 00:46:48,24.0481066,49.79958,312.893207381689,60,71,75,312.546737976264,24.04892,49.79897,24.04802530245,49.79950004085,0.0900950552763168,5.40570331657901
1054553,39187,2017-07-20 00:47:48,24.0469116,49.807995,2017-07-20 00:48:48,24.0419449,49.8117833,319.768577215506,60,112,131,312.577898595896,24.04682635505,49.8088272251,24.0418401285,49.8117835769,0.548277484587657,32.8966490752594
1054553,39187,2017-07-20 00:48:48,24.0419449,49.8117833,2017-07-20 00:49:48,24.0394716,49.8135883,318.517631225524,60,132,149,319.757950220962,24.0418401285,49.8117835769,24.0394570768125,49.8136005000625,0.521674625773312,31.3004775463987
1054553,39187,2017-07-20 00:50:48,24.035505,49.8140516,2017-07-20 00:51:48,24.0302916,49.8156416,295.299844944597,60,158,172,295.466689178465,24.03558,49.814,24.03032272295,49.8156154837,0.418265114356654,25.0959068613993
1054553,39187,2017-07-20 00:51:48,24.0302916,49.8156416,2017-07-20 00:52:50,24.02524,49.8181083,307.119723554507,62,176,195,309.228358734506,24.029276661425,49.81593739135,24.02519,49.81809,0.404319978546163,23.4766439155836
1054553,39187,2017-07-20 00:52:50,24.02524,49.8181083,2017-07-20 00:53:48,24.0312933,49.821995,45.1361483751934,58,200,218,47.4570968691794,24.0257254167,49.81878736495,24.031229309575,49.82204594105,0.568006551916947,35.2555790845002
1054553,39187,2017-07-20 00:53:48,24.0312933,49.821995,2017-07-20 00:54:48,24.0336,49.8261283,19.7998262702764,60,220,239,17.3002753277267,24.03163700535,49.8220892026,24.03354560505,49.82604223315,0.521890420196015,31.3134252117609
1054553,39187,2017-07-20 00:54:48,24.0336,49.8261283,2017-07-20 00:55:48,24.0338616,49.8284016,4.24541980692969,60,240,254,7.48901015347468,24.03354560505,49.82604223315,24.0340306364,49.8284223452,0.316603882146953,18.9962329288172
1054553,39187,2017-07-20 00:55:48,24.0338616,49.8284016,2017-07-20 00:56:48,24.0344933,49.8316483,7.15336044809062,60,255,269,5.80757128606788,24.0340306364,49.8284223452,24.0345324939,49.8316050883,0.453855850008766,27.231351000526
1054553,39187,2017-07-20 00:56:48,24.0344933,49.8316483,2017-07-20 00:57:48,24.0355033,49.8338466,16.5069248430238,60,270,278,15.3593929112098,24.0345324939,49.8316050883,24.03548,49.83383,0.260185351905304,15.6111211143182
